PlayerId,1,2,3
RAhm00,Ramiz Ahmed,,
RCob00,Randall Cobb,,
RBul00,Randy Bullock,,
RPen00,Rashaad Penny,,
RHig00,Rashard Higgins,,
RRic00,Rashee Rice,,
RSha00,Rashid Shaheed,,
RBat00,Rashod Bateman,,
RMcC00,Ray-Ray McCloud,Ray-Ray McCloud III,
RBon00,Reggie Bonnafon,,
RGil00,Reggie Gilliam,,
RBur00,Rex Burkhead,,
RSte00,Rhamondre Stevenson,,
RRod00,Richard Rodgers,,
RJam00,Richie James,Richie James Jr.,
RDow00,Rico Dowdle,,
RPat00,Riley Patterson,,
RCra00,River Cracraft,,
RCho00,Robbie Chosen,Chosen Anderson,Robbie Anderson
RGou00,Robbie Gould,,
RTon00,Robert Tonyan,,
RWoo00,Robert Woods,,
RWil00,Rodney Williams,,
RBla01,Rodrigo Blankenship,,
RCar00,Roger Carter,,
RDou00,Romeo Doubs,,
RJon00,Ronald Jones II,Ronald Jones,
RMoo00,Rondale Moore,,
RBel00,Ronnie Bell,,
RRiv00,Ronnie Rivers,,
RJoh00,Roschon Johnson,,
RDwe00,Ross Dwelley,,
RFre00,Royce Freeman,,
RGag00,Russell Gage,,
RWil01,Russell Wilson,,
RGri00,Ryan Griffin,,
RMil00,Ryan Miller,,
RSuc00,Ryan Succop,,
RTan00,Ryan Tannehill,,
SAhm00,Salvon Ahmed,,
SDar00,Sam Darnold,,
SEhl00,Sam Ehlinger,,
SHow00,Sam Howell,,
SLaP00,Sam LaPorta,,
SPer00,Samaje Perine,,
SWat00,Sammy Watkins,,
STou00,Samori Toure,,
SPla00,Sandro Platzgummer,,
SBar00,Saquon Barkley,,
STho00,SaRodorick Thompson Jr.,SaRodorick Thompson,
SMil00,Scott Miller,,
SWas00,Scotty Washington,,
SCli00,Sean Clifford,,
SMcK00,Sean McKeon,,
STuc00,Sean Tucker,,
SZyl00,Shane Zylstra,,
SJac00,Shedrick Jackson,,
SSmi00,Shi Smith,,
SFeh00,Simi Fehoko,,
STho01,Skylar Thompson,,
SMoo00,Skyy Moore,,
SCon00,Snoop Conner,,
SMic00,Sony Michel,,
SBro00,Spencer Brown,,
SBer00,Stanley Berryhill,Stanley Berryhill III,
SMor00,Stanley Morgan Jr.,Stanley Morgna,
SDig00,Stefon Diggs,,
SAnd00,Stephen Anderson,,
SCar00,Stephen Carlson,,
SSul00,Stephen Sullivan,,
SShe00,Sterling Shepard,,
SBen00,Stetson Bennett,,
SSim00,Steven Sims,Steven Sims Jr.,
SSma00,Stone Smartt,,
THoc00,T.J. Hockenson,TJ Hockenson,
THil00,T.Y. Hilton,TY Hilton,
TJon00,Taiwan Jones,,
TBig00,Tank Bigsby,,
TDel00,Tank Dell,,
TCon00,Tanner Conner,,
TGen00,Tanner Gentry,,
THud00,Tanner Hudson,,
TMcK00,Tanner McKee,,
TMar00,Tay Martin,,
